,Adname,AdSetname,Accountname,Impressions,Reach,Frecuencia,Videoaveragewatchtime,Abandono_0_25,Retention_25,Retention_50,Retention_75,Retention_100,CTR,Tasa_de_Conversion,Linkurl,PTP_total,Landingpageviews
236,3COLORES,REMK-MIND,Maihue-USD-3,127414.0,106113.0,1.201,2.065,0.92,0.08,0.05,0.039,0.028,0.26,14.199,https://maihuechile.cl/prueba-unica-2/,47.0,331.0
381,MUJERES,CRR-OCT,Maihue-USD-1,221164.0,186999.0,1.183,1.104,0.928,0.072,0.031,0.021,0.015,0.148,12.195,https://maihuechile.cl/ads-two/,40.0,328.0
206,CORAZON,REMK-MAIHUE,Maihue-USD-3,103720.0,79343.0,1.307,3.756,0.89,0.11,0.074,0.062,0.04,0.335,10.375,https://maihuechile.cl/prueba-unica-2/,36.0,347.0
299,PVP-GB,PVP,Maihue-USD-1,434139.0,402517.0,1.079,2.527,0.845,0.155,0.081,0.047,0.033,0.278,8.043,https://maihuechile.cl/,97.0,1206.0
434,Descuento#15,AUB 16.900,Maihue-USD-1,594061.0,467686.0,1.27,2.653,0.88,0.12,0.055,0.033,0.024,0.203,7.967,https://maihuechile.cl/prueba-unica-1/,96.0,1205.0
374,Negro-Blanco,VIDEO-OCT-2022,Maihue-USD-1,245846.0,212798.0,1.155,1.196,0.908,0.092,0.041,0.027,0.02,0.282,7.637,https://maihuechile.cl/ads-one/,53.0,694.0
256,Showroom,Videos | Largos,Maihue-USD-3,155004.0,145233.0,1.067,4.016,0.972,0.028,0.016,0.01,0.004,0.31,7.484,https://maihuechile.cl/ads-four/,36.0,481.0
359,NUEVO-PVP-GB+PB-N,NUEVO-PVP,Maihue-USD-1,705366.0,652106.0,1.082,2.627,0.924,0.076,0.039,0.027,0.017,0.26,7.135,https://maihuechile.cl/ads-one/,131.0,1836.0
385,PVP Blanco,Equipos,Maihue-USD-1,1337042.0,1218227.0,1.098,2.262,0.93,0.07,0.032,0.021,0.012,0.22,7.031,https://maihuechile.cl/ads-one/,207.0,2944.0
437,Descuento#15 | Amarillo,Descuentos#1,Maihue-USD-1,588570.0,495515.0,1.188,3.025,0.9,0.1,0.048,0.029,0.021,0.227,6.956,https://maihuechile.cl/prueba-unica-5/,93.0,1337.0
300,PVP-GB+PB,PVP,Maihue-USD-1,1496980.0,1379978.0,1.085,2.461,0.907,0.093,0.066,0.047,0.027,0.281,6.719,https://maihuechile.cl/,283.0,4212.0
360,3 COLORES,OTROS,Maihue-USD-1,174332.0,149838.0,1.163,3.828,0.85,0.15,0.114,0.101,0.087,0.303,6.616,https://maihuechile.cl/ads-one/,35.0,529.0
386,PVP Negro,Equipos,Maihue-USD-1,2013523.0,1819522.0,1.107,2.071,0.932,0.068,0.032,0.021,0.012,0.244,6.516,https://maihuechile.cl/ads-one/,320.0,4911.0
335,Cinemagraph,OTROS,Maihue-USD-1,270856.0,239282.0,1.132,1.446,0.845,0.155,0.082,0.05,0.039,0.206,6.452,https://maihuechile.cl/ads-one/,36.0,558.0
325,PVP-GB+PB,PVP,Maihue-USD-1,422356.0,380575.0,1.11,3.48,0.889,0.111,0.072,0.06,0.04,0.241,6.299,https://maihuechile.cl/ads-one/,64.0,1016.0
405,AUB-Espera,Capsulas,Maihue-USD-1,451816.0,432023.0,1.046,4.88,0.826,0.174,0.068,0.046,0.029,0.162,6.019,https://maihuechile.cl/ads-two/,44.0,731.0
388,Blanco-Blanco,Equipos,Maihue-USD-1,729945.0,627326.0,1.164,1.315,0.903,0.097,0.044,0.029,0.02,0.231,5.994,https://maihuechile.cl/ads-one/,101.0,1685.0
48,PVP Hall,MIX,Maihue-USD-3,415752.0,349935.0,1.188,2.757,0.878,0.122,0.094,0.03,0.019,0.306,5.965,https://maihuechile.cl/ads-5,76.0,1274.0
393,Espera,Capsulas,Maihue-USD-1,402499.0,353661.0,1.138,2.349,0.93,0.07,0.033,0.021,0.012,0.151,5.941,https://maihuechile.cl/ads-two/,36.0,606.0
47,PVP Niño,MIX,Maihue-USD-3,369705.0,331740.0,1.114,3.991,0.863,0.137,0.075,0.034,0.023,0.329,5.926,https://maihuechile.cl/ads-5,72.0,1215.0
358,NUEVO-PVP-GB+PB-B,NUEVO-PVP,Maihue-USD-1,276895.0,257583.0,1.075,2.32,0.931,0.069,0.041,0.032,0.02,0.249,5.797,https://maihuechile.cl/ads-one/,40.0,690.0
377,NUEVO-PVP-GB+PB-B,VIDEO-OCT-2022,Maihue-USD-1,501396.0,450597.0,1.113,2.036,0.946,0.054,0.028,0.023,0.01,0.259,5.697,https://maihuechile.cl/ads-one/,74.0,1299.0
376,NUEVO-PVP-GB+PB-N,VIDEO-OCT-2022,Maihue-USD-1,700849.0,636578.0,1.101,2.246,0.933,0.067,0.037,0.029,0.017,0.277,5.667,https://maihuechile.cl/ads-one/,110.0,1941.0
402,PVP Negro - Copia,Refuerzo | Videos,Maihue-USD-1,516004.0,454386.0,1.136,2.418,0.915,0.085,0.041,0.026,0.015,0.349,5.614,https://maihuechile.cl/ads-3/,101.0,1799.0
403,Familias,Capsulas,Maihue-USD-1,1148971.0,1069284.0,1.075,4.434,0.941,0.059,0.039,0.026,0.008,0.255,5.383,https://maihuechile.cl/ads-one/,158.0,2935.0
152,Ñuñoa#4,Ñuñoa,Maihue-USD-3,493784.0,450661.0,1.096,2.711,0.861,0.139,0.06,0.037,0.022,0.165,5.018,https://maihuechile.cl/ads-3/,41.0,817.0
436,Descuento#15 | Azul,Descuentos#1,Maihue-USD-1,4821336.0,4002048.0,1.205,3.98,0.86,0.14,0.064,0.038,0.027,0.304,4.936,https://maihuechile.cl/prueba-unica-5/,723.0,14647.0
276,Blanco-Blanco,Equipos,Maihue-USD-2,1137582.0,1023443.0,1.112,2.403,0.866,0.134,0.059,0.036,0.026,0.249,4.868,https://maihuechile.cl/ads-3/,138.0,2835.0
378,Blanco-Blanco,VIDEO-OCT-2022,Maihue-USD-1,1157038.0,1040041.0,1.112,1.87,0.889,0.111,0.052,0.032,0.023,0.293,4.683,https://maihuechile.cl/ads-one/,159.0,3395.0
39,PVP Negro,MIX,Maihue-USD-3,657273.0,577609.0,1.138,2.384,0.94,0.06,0.035,0.022,0.014,0.322,4.483,https://maihuechile.cl/ads-5,95.0,2119.0
417,PVP | Hall,Equipos,Maihue-USD-1,1253371.0,1079606.0,1.161,3.042,0.875,0.125,0.061,0.04,0.026,0.238,4.465,https://maihuechile.cl/ads-3/,133.0,2979.0
438,Descuento#15 | Rojo,Descuentos#1,Maihue-USD-1,862785.0,755701.0,1.142,2.566,0.917,0.083,0.039,0.025,0.018,0.269,4.445,https://maihuechile.cl/prueba-unica-5/,103.0,2317.0
457,PVP Niño V1,PVP*,Maihue-USD-1,460385.0,389450.0,1.182,2.848,0.873,0.127,0.093,0.029,0.018,0.269,4.365,https://maihuechile.cl/ads-3/,54.0,1237.0
390,Familias,Capsulas,Maihue-USD-1,231574.0,216664.0,1.069,5.434,0.919,0.081,0.056,0.036,0.009,0.401,4.203,https://maihuechile.cl/ads-one/,39.0,928.0
539,PVP#2,PVP,Maihue-USD-1,1874720.0,1562897.0,1.2,3.64,0.941,0.059,0.028,0.016,0.012,0.233,4.15,https://maihuechile.cl/ads-3/,181.0,4361.0
153,LasCondes#4,Las Condes,Maihue-USD-3,749474.0,701187.0,1.069,2.934,0.835,0.165,0.064,0.038,0.023,0.215,4.097,https://maihuechile.cl/ads-3/,66.0,1611.0
561,EXPERIENCIAS | Mar#3,Experiencias#1,Maihue-USD-1,212140.0,189321.0,1.121,2.712,0.869,0.131,0.061,0.042,0.029,0.348,4.06,https://maihuechile.cl/ads-7/,30.0,739.0
409,PVP Blanco,PVP,Maihue-USD-1,347526.0,322411.0,1.078,2.933,0.919,0.081,0.038,0.024,0.014,0.355,4.049,https://maihuechile.cl/ads-one/,50.0,1235.0
278,PVP Negro,Equipos,Maihue-USD-2,1484898.0,1327744.0,1.118,2.946,0.913,0.087,0.042,0.026,0.017,0.255,3.965,https://maihuechile.cl/ads-3/,150.0,3783.0
541,Descuento#3,Descuento#3,Maihue-USD-1,704102.0,604596.0,1.165,2.688,0.882,0.118,0.053,0.033,0.025,0.251,3.964,https://maihuechile.cl/prueba-unica-5/,70.0,1766.0
